"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"53170444","Restaurant  Tapes Tapas *Poble Espanyol","#","Av","Francesc Ferrer i Guàrdia","13","27","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.369148","2.146751","428641.975","4580088.441","428733.892","4580289.357","933257746","#","","01/01","31/12","0000110","12:00:00","17:30:00"," ",
"53170444","Restaurant  Tapes Tapas *Poble Espanyol","#","Av","Francesc Ferrer i Guàrdia","13","27","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.369148","2.146751","428641.975","4580088.441","428733.892","4580289.357","933257746","#","","01/01","31/12","1111001","12:00:00","17:30:00"," ",
"53170444","Restaurant  Tapes Tapas *Poble Espanyol","#","Av","Francesc Ferrer i Guàrdia","13","27","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.369148","2.146751","428641.975","4580088.441","428733.892","4580289.357","933257746","#","","01/01","31/12","1111001","18:00:00","22:30:00"," ",
"94135210","Restaurant Japonès Ginza","#","C","Provença","205","205","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.392182","2.15792","429600.877","4582636.586","429692.802","4582837.526","934517193","#","","01/01","31/12","0000000","20:00:00","23:59:00"," ",
"94135210","Restaurant Japonès Ginza","#","C","Provença","205","205","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.392182","2.15792","429600.877","4582636.586","429692.802","4582837.526","934517193","#","","01/01","31/12","0000000","12:00:00","16:00:00"," ",
"140145849","Hotel Rívoli Ramblas - HB-003878","128 Rambla Restaurant","C","Rambla","128","128","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384315","2.171183","430701.351","4581752.512","430793.286","4581953.444","934817664","Reserves","","01/01","31/12","0000000","20:00:00","22:30:00"," ",
"140145849","Hotel Rívoli Ramblas - HB-003878","128 Rambla Restaurant","C","Rambla","128","128","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384315","2.171183","430701.351","4581752.512","430793.286","4581953.444","934817664","Reserves","","01/01","31/12","0000000","13:00:00","15:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","934957777","#","Hotel","01/01","31/12","1111100","07:00:00","11:00:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","934957777","#","Hotel","01/01","31/12","1111101","13:00:00","15:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","934957777","#","Hotel","01/01","31/12","0000011","13:00:00","15:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","934957777","#","Hotel","01/01","31/12","0000011","07:00:00","10:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","622158496","#","","01/01","31/12","1111100","07:00:00","11:00:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","622158496","#","","01/01","31/12","1111101","13:00:00","15:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","622158496","#","","01/01","31/12","0000011","13:00:00","15:30:00"," ",
"140150522","Hotel Hilton Barcelona - HB-003892","Restaurant Mosaic","Av","Diagonal","589","591","19","les Corts","04","Les Corts","08014","019","BARCELONA","41.388922","2.131402","427380.348","4582296.537","427472.252","4582497.473","622158496","#","","01/01","31/12","0000011","07:00:00","10:30:00"," ",
"150182627","Restaurant Embat","#","C","Mallorca","304","304","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.397062","2.167012","430366.259","4583170.945","430458.191","4583371.89","934580855","#","","01/01","31/12","0001111","13:00:00","15:45:00"," ",
"150182627","Restaurant Embat","#","C","Mallorca","304","304","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.397062","2.167012","430366.259","4583170.945","430458.191","4583371.89","934580855","#","","01/01","31/12","1110011","20:30:00","23:00:00"," ",
"150182627","Restaurant Embat","#","C","Mallorca","304","304","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.397062","2.167012","430366.259","4583170.945","430458.191","4583371.89","934580855","#","","01/01","31/12","1110011","13:00:00","15:45:00"," ",
"150182627","Restaurant Embat","#","C","Mallorca","304","304","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.397062","2.167012","430366.259","4583170.945","430458.191","4583371.89","934580855","#","","01/01","31/12","1111101","14:00:00","16:00:00"," ",
"165164232","Reial Cercle Artístic - Institut Barcelonès d'Art","Restaurant El Cercle","C","Arcs","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384567","2.174521","430980.687","4581777.816","431072.625","4581978.748","936244810","#","","01/01","31/12","0000000","11:00:00","01:00:00","Terrassa",
"165164232","Reial Cercle Artístic - Institut Barcelonès d'Art","Restaurant El Cercle","C","Arcs","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384567","2.174521","430980.687","4581777.816","431072.625","4581978.748","936244810","#","","01/01","31/12","0000000","13:00:00","16:00:00","Restaurant",
"165164232","Reial Cercle Artístic - Institut Barcelonès d'Art","Restaurant El Cercle","C","Arcs","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384567","2.174521","430980.687","4581777.816","431072.625","4581978.748","936244810","#","","01/01","31/12","0000000","20:00:00","23:59:00"," ",
"168094730","Cerveseria Restaurant El Fraile *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.066","4588197.597","433127.021","4588398.589","933608944","#","","","","","","","",
"168094818","Restaurant Trattoria Ginos *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.067","4588197.598","433127.022","4588398.59","935219182","#","","01/01","31/12","0000100","13:00:00","16:30:00"," ",
"168094818","Restaurant Trattoria Ginos *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.067","4588197.598","433127.022","4588398.59","935219182","#","","01/01","31/12","0000100","20:00:00","23:30:00"," ",
"168094818","Restaurant Trattoria Ginos *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.067","4588197.598","433127.022","4588398.59","935219182","#","","01/01","31/12","1111011","13:00:00","16:30:00"," ",
"168094818","Restaurant Trattoria Ginos *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.067","4588197.598","433127.022","4588398.59","935219182","#","","01/01","31/12","1111011","20:00:00","23:59:00"," ",
"168095042","Restaurant Pans & Company-Pollo Campero *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.066","4588197.597","433127.021","4588398.589","933608040","#","","01/01","31/12","0000111","09:00:00","23:00:00"," ",
"168095042","Restaurant Pans & Company-Pollo Campero *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.066","4588197.597","433127.021","4588398.589","933608040","#","","01/01","31/12","1111001","09:00:00","01:00:00"," ",
"168095042","Restaurant Pans & Company-Pollo Campero *La Maquinista","#","Pg","Potosí","2","2","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.442562","2.198378","433035.066","4588197.597","433127.021","4588398.589","933608040","#","","01/01","31/12","1111110","11:00:00","23:00:00"," ",
"171154336","Restaurant La Lluna","#","Cro","Sant Bonaventura","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.385223","2.171811","430754.812","4581852.765","430846.748","4582053.698","933424479","#","","01/01","31/12","0001111","13:00:00","16:00:00"," ",
"171154336","Restaurant La Lluna","#","Cro","Sant Bonaventura","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.385223","2.171811","430754.812","4581852.765","430846.748","4582053.698","933424479","#","","01/01","31/12","1110001","20:30:00","23:30:00"," ",
"171154336","Restaurant La Lluna","#","Cro","Sant Bonaventura","5","5","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.385223","2.171811","430754.812","4581852.765","430846.748","4582053.698","933424479","#","","01/01","31/12","1110001","13:00:00","16:00:00"," ",
"174120355","Hotel Sofía - HB-003487","Restaurant Impar","Pl","Pius XII","4","4","20","la Maternitat i Sant Ramon","04","Les Corts","08034","019","BARCELONA","41.386559","2.123135","426686.5","4582041.148","426778.398","4582242.081","935081000","#","","","","","","","",
"195145422","Bar Restaurant O'Carballo","#","Trav","Gràcia","252","252","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08025","019","BARCELONA","41.405503","2.164648","430177.626","4584109.928","430269.556","4584310.882","934574197","#","","01/01","31/12","0000011","08:00:00","21:00:00"," ",
"195145422","Bar Restaurant O'Carballo","#","Trav","Gràcia","252","252","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08025","019","BARCELONA","41.405503","2.164648","430177.626","4584109.928","430269.556","4584310.882","934574197","#","","01/01","31/12","1111101","09:00:00","18:00:00"," ",
